antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Pain au chocolat'}),frozenset({'Direct'}),0.021038671368719293,0.08520963317961239,0.005606293516592821,0.2664756446991404,3.1272948228452004,1.0,0.003813596046677836,1.2471165547668566,0.6948536142625822,0.05570530098831986,0.19815032830917237,0.1661348863750389
frozenset({'Gobelets'}),frozenset({'Direct'}),0.02875486029478253,0.08520963317961239,0.0056364348795852545,0.1960167714884696,2.3004062354697403,1.0,0.0031862437817358345,1.1378226987570401,0.5820303728976928,0.05203116304952699,0.12112844901723084,0.1310823157053243
frozenset({'Pain au chocolat'}),frozenset({'Cappucin'}),0.021038671368719293,0.13364680350845465,0.006239262139433945,0.29656160458452724,2.2189951184711005,1.0,0.003427510960939767,1.231597823118327,0.5611514418904344,0.04203045685279188,0.18804663240792055,0.17162315682541654
frozenset({'Gobelets'}),frozenset({'Cappucin'}),0.02875486029478253,0.13364680350845465,0.008228592096934623,0.2861635220125786,2.1411924153836988,1.0,0.0043855969332047585,1.2136577818692136,0.548749732717706,0.05337243401759532,0.1760445036986856,0.17386660539059243
frozenset({'Gobelets'}),frozenset({'Express'}),0.02875486029478253,0.1708713868041113,0.009012267534737921,0.31341719077568136,1.834228636155368,1.0,0.004098884678809954,1.2076163312807295,0.4682769334145816,0.04728020240354206,0.17192242759796353,0.18308008947850923
frozenset({'Croustina'}),frozenset({'Cappucin'}),0.03692316966573229,0.13364680350845465,0.005455586701630648,0.14775510204081632,1.105564055121372,1.0,0.0005209231004051915,1.0165542774924743,0.09914509194731316,0.0330412559328222,0.01628469611412042,0.09428801561219888
frozenset({'Eau minerale 1.5'}),frozenset({'Express'}),0.07809627151339783,0.1708713868041113,0.013593754709587968,0.17406406792744114,1.0186847030567499,1.0,0.00024933649186326817,1.0038655312105362,0.019895774235795846,0.057753873735433475,0.003850646416632049,0.12680977254195305
frozenset({'Tropico'}),frozenset({'Camel bleu'}),0.047864484431986015,0.1539620821653555,0.007505199385116195,0.15680100755667506,1.0184391205379422,1.0,0.00013588370019638422,1.0033668510242086,0.01901543938901003,0.03862261516984644,0.0033555533758883034,0.10277403549329446
